epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.08592496882833074;0.9815;0.1744891085310666;0.8549716386852212;0.2260061919504644;0.981617;0.71428573;0.9998726;0.016722407;0.978;0.16482969425676094;0.8382955727978092;0.08180773947190027;0.2571428571428571;0.9781223;0.0;0.9998722;0.0
1;0.07685230885831697;0.98225;0.23613485015514915;0.8646931923008083;0.25;0.98253846;0.77272725;0.9996816;0.05743243;0.978375;0.25140294111178185;0.8597573214644143;0.08590238685929216;0.2833333333333333;0.97907794;0.6666667;0.9992328;0.06703911
2;0.08039844399417052;0.9806875;0.2640897384324318;0.8735677128657346;0.31952662721893493;0.98223144;0.6438356;0.9983408;0.14242424;0.9815;0.22000047519575383;0.8557418838620994;0.08393264690320938;0.28859060402684567;0.98367447;0.5135135;0.9977073;0.12751678
3;0.08573703603501781;0.9791875;0.20937619355024384;0.8454254682878303;0.26548672566371684;0.9794221;0.6666667;0.9997446;0.023738872;0.978375;0.26831534684795016;0.8737372889091738;0.087945010418538;0.3142857142857143;0.97860897;0.6666667;0.9997444;0.022857143
4;0.07732719190616626;0.9806875;0.30860670640422877;0.8836200711569133;0.3476923076923077;0.9809691;0.8076923;0.999681;0.064615384;0.9785;0.2731315427237797;0.8559401186672754;0.07812931776652113;0.3352272727272727;0.97921103;0.6;0.99923325;0.05142857
5;0.07692281919051311;0.979875;0.2731384474802566;0.8638800999766788;0.31750741839762614;0.9819667;0.5882353;0.9977654;0.14836796;0.979625;0.24956866901682537;0.8563991237979235;0.09014460455428343;0.28994082840236685;0.98105395;0.6;0.9984676;0.10650887
6;0.08115629543364047;0.98;0.27334416735274153;0.8723281596368315;0.32840236686390534;0.9804597;0.75757575;0.99948925;0.07418398;0.979125;0.2744003602970288;0.8646397078959379;0.07591888836224098;0.3142857142857143;0.97982454;0.7;0.99923325;0.08
7;0.08028583365282975;0.981125;0.25585277704535225;0.8668724382546577;0.2950310559006211;0.9821272;0.6851852;0.9989157;0.11490683;0.975625;0.2593692527861836;0.8578593130741834;0.08128853247629013;0.30392156862745096;0.97595793;0.78571427;0.99961525;0.054187194
8;0.07579595679446356;0.9815;0.26793928068792694;0.8678498535935126;0.30618892508143325;0.9822715;0.6486486;0.9991716;0.078175895;0.98;0.3271469373751197;0.8657402486217208;0.08454674491123296;0.33146067415730335;0.9801955;0.90909094;0.9997443;0.11235955
9;0.07018085548875387;0.980125;0.23200240606851777;0.8601467179674195;0.29393939393939394;0.9814385;0.5849057;0.9985963;0.094801225;0.9775;0.23458391700803155;0.8789034128363923;0.07956953007401898;0.3005464480874317;0.97892886;0.5555556;0.9984649;0.08196721
10;0.0711181455180049;0.980625;0.3137787089213743;0.8840149432896302;0.3303030303030303;0.98174745;0.6666667;0.9987876;0.11550152;0.982;0.31019939281277525;0.8925137703014598;0.07771561457193457;0.3419354838709677;0.98343164;0.6363636;0.9984707;0.13725491
11;0.07822495480263024;0.9805625;0.31453167409262833;0.8694962518106237;0.363905325443787;0.9813735;0.74545455;0.9991061;0.12130178;0.9785;0.2815972544669445;0.8600271268425009;0.08197611640149262;0.2925531914893617;0.9791771;0.78571427;0.99923193;0.11702128
12;0.07604732014000183;0.9808125;0.24647494571853237;0.8727484476104429;0.3180327868852459;0.9817783;0.46666667;0.9989806;0.045901638;0.977625;0.32372540267077554;0.9026488307151439;0.08167622678005136;0.358695652173913;0.9784488;0.6315789;0.9991044;0.06521739
13;0.07352113479265245;0.9815;0.309981082693382;0.8937177773688576;0.3512658227848101;0.98262453;0.67241377;0.9987886;0.12341772;0.978875;0.3010721503979361;0.8734612749489915;0.07551886132743675;0.3048128342245989;0.97918755;0.875;0.999616;0.112299465
14;0.07382135325335548;0.9810625;0.2936338635536599;0.8960748055978152;0.3212121212121212;0.98284745;0.64285713;0.99808586;0.16513762;0.9805;0.26033883688576337;0.8763651422268599;0.07754875598917715;0.31901840490797545;0.9818091;0.62068963;0.99859643;0.11042945
15;0.07075417475716676;0.981875;0.33360916982300143;0.8914200015943878;0.38317757009345793;0.9826267;0.76785713;0.9991709;0.134375;0.981625;0.30149178464055615;0.8801832793072055;0.08461652001156472;0.3333333333333333;0.98243636;0.7586207;0.99910694;0.13580246
16;0.07128703929303447;0.981;0.36411873717126775;0.8982077521307767;0.39882697947214074;0.98168015;0.8032787;0.99923366;0.14369501;0.98;0.2523252806718805;0.8861551339285714;0.06898422417521942;0.3496932515337423;0.9819277;0.5;0.9979592;0.1
17;0.07662633607169846;0.9806875;0.2964029814706212;0.9078775972027108;0.34011627906976744;0.98163587;0.64444447;0.99897945;0.09006211;0.981;0.29742499166361297;0.8976315134561287;0.07515711530309636;0.3271604938271605;0.98157895;0.75;0.9993621;0.09259259
18;0.07655722189100925;0.9799375;0.30370114352477984;0.8866060788462473;0.3519061583577713;0.9816059;0.6056338;0.99821246;0.1279762;0.9805;0.27937652425886045;0.8804146760177262;0.07499370345962234;0.3496932515337423;0.98205096;0.6060606;0.9983412;0.12269939
19;0.07531208036188036;0.9810625;0.3038586710183518;0.8674012023064654;0.36;0.9819413;0.71153843;0.99904305;0.11384615;0.978375;0.3529095104133438;0.8890851130251026;0.07862795062339864;0.359375;0.97880346;0.8518519;0.9994877;0.119791664
20;0.07856159560225205;0.9824375;0.31760553526533875;0.8956028048495108;0.3432343234323432;0.9836847;0.671875;0.9986622;0.14191419;0.983125;0.305234326314036;0.9054341814277497;0.08235376018378883;0.31788079470198677;0.9839438;0.75;0.9991084;0.1409396
21;0.07293460245212191;0.9825;0.34496433558937195;0.8982534940179194;0.3815789473684211;0.98362404;0.6935484;0.9987895;0.14144737;0.978875;0.2666890777357642;0.881407241212064;0.07657345198560506;0.3055555555555556;0.97968906;0.7083333;0.999105;0.09497207
22;0.07361021056727622;0.982;0.32370899494551103;0.9018071307048382;0.34810126582278483;0.98281485;0.75;0.99910736;0.1329114;0.981125;0.31236611747785986;0.8782580836744269;0.08237147165392525;0.3136094674556213;0.98156506;0.84615386;0.9994892;0.13017751
23;0.07255030587123475;0.9800625;0.37326664236887164;0.893080242966752;0.37222222222222223;0.9806136;0.8360656;0.9993606;0.14166667;0.978375;0.3347157621698447;0.8858901332336231;0.06900143765693065;0.3862433862433862;0.97929215;0.75;0.9989758;0.12698413
24;0.07254096865252359;0.9796875;0.36977877960432637;0.9146690864362128;0.38526912181303113;0.98043394;0.7592593;0.9991692;0.11614731;0.9785;0.29230878183856734;0.8906837278863372;0.07588361551158596;0.34065934065934067;0.9796738;0.6666667;0.9987209;0.10989011
25;0.07004396640288178;0.981375;0.30795365360478305;0.8955747616217459;0.34049079754601225;0.98280084;0.65217394;0.9984695;0.14106584;0.977125;0.2812704345584684;0.8782705505037568;0.07031885991559829;0.31088082901554404;0.9785365;0.6363636;0.9984631;0.109375
26;0.07089375157910399;0.9816875;0.341553331863671;0.8873228946504289;0.3434650455927052;0.9826742;0.75714284;0.9989152;0.16109422;0.97875;0.3316734309561284;0.8716524024529956;0.07005991677893325;0.34375;0.97977895;0.7631579;0.9988476;0.15263158
27;0.07048113209253642;0.9794375;0.40210543580115343;0.9105027819077776;0.42133333333333334;0.97992474;0.85;0.99942416;0.13746631;0.978625;0.3927332915685462;0.8952665034773275;0.07168893509928603;0.39267015706806285;0.97929215;0.8125;0.99923164;0.13612565
28;0.06828757631831103;0.9804375;0.27391172189910257;0.8695757575757576;0.3323076923076923;0.9828388;0.5652174;0.99744815;0.16;0.977125;0.29838453682028515;0.8788892927750289;0.0763343621015083;0.32653061224489793;0.9794891;0.6226415;0.99743724;0.16836734
29;0.06868838538156706;0.98025;0.31694477367102586;0.9096108816453651;0.36716417910447763;0.9817349;0.63235295;0.9984042;0.12874252;0.97975;0.2952318687957869;0.8894386517663;0.07768966071214527;0.3391812865497076;0.981414;0.6216216;0.9982118;0.13450292
30;0.07132557123788866;0.979875;0.3322803242977249;0.8862919153168514;0.3527777777777778;0.9806703;0.7878788;0.99910486;0.14444445;0.98;0.3920030964363956;0.8997523796508656;0.07732493790693115;0.47093023255813954;0.98190045;0.6363636;0.99795604;0.1627907
31;0.07192460827491595;0.9819375;0.35243857033371806;0.8903696924517203;0.3730407523510972;0.98372096;0.6666667;0.99808687;0.18808778;0.9805;0.3251254290834417;0.8974003292545742;0.0738068131946493;0.3803680981595092;0.9826568;0.5813953;0.9977032;0.15337424
32;0.06623453619083738;0.9820625;0.3526225309145229;0.8976785697409582;0.38461538461538464;0.9828073;0.7936508;0.9991707;0.15432099;0.979625;0.3117750390872678;0.8748249848949619;0.08218418250128161;0.3707865168539326;0.9806751;0.7096774;0.9988497;0.125
33;0.07334291784014203;0.9804375;0.309176520997212;0.8997043798306957;0.3723076923076923;0.9811451;0.6666667;0.99923444;0.073846154;0.979625;0.27937646463581634;0.8872674923342239;0.08756818998325616;0.3313253012048193;0.9807066;0.5;0.9988516;0.055214725
34;0.06510609856547671;0.981875;0.3400178353525311;0.9007905951541608;0.375;0.9825078;0.78;0.9992986;0.12264151;0.98;0.3279229724651264;0.8824732471484676;0.08121686807769583;0.3735632183908046;0.98068726;0.7692308;0.9992333;0.11494253
35;0.06803425790689653;0.9790625;0.3266242013373988;0.8963580361996315;0.36944444444444446;0.98047584;0.6619718;0.99846566;0.13128492;0.981875;0.3110449748894918;0.883024417895466;0.07901147675164975;0.34394904458598724;0.98329985;0.6666667;0.99846995;0.15286624
36;0.06991452593519352;0.98075;0.3798884264238847;0.9025213965996881;0.39710144927536234;0.9813084;0.8245614;0.9993612;0.13623188;0.979375;0.3512345162497978;0.8961764705882352;0.07449515722773503;0.4;0.9801781;0.7586207;0.99910486;0.12222222
37;0.07024585527559975;0.981875;0.3956278777116063;0.9131175389628723;0.4144927536231884;0.98272073;0.8235294;0.99904186;0.20289855;0.97725;0.3019858096790738;0.876576820967596;0.06888275358721148;0.35148514851485146;0.97912735;0.65957445;0.9979495;0.1573604
38;0.0681467861328856;0.982625;0.3425197835587937;0.8978271627426871;0.346031746031746;0.98355407;0.76811594;0.9989799;0.16825397;0.979125;0.32101374425309565;0.8709766864546955;0.07819364803051576;0.3333333333333333;0.97991717;0.7878788;0.9991042;0.13978495
39;0.06893490003055194;0.982875;0.4029357539962476;0.8981513457213659;0.4198717948717949;0.9835017;0.8135593;0.9992989;0.15434083;0.980125;0.27893046072342176;0.8771033472043885;0.0682521971736569;0.32748538011695905;0.98154193;0.6666667;0.99846727;0.14035088
40;0.07031096168907243;0.9816875;0.3011682835757936;0.8996610835830021;0.3660130718954248;0.98366934;0.5822785;0.99789727;0.1503268;0.976125;0.30553477208760305;0.854052896325417;0.0763372691119439;0.32701421800947866;0.9772613;0.75;0.9987161;0.1421801
